# E  prob
2.89e+01  0.2764170242
3.03e+01  0.2764017354
3.16e+01  0.276347855
3.31e+01  0.2764278714
3.46e+01  0.2765022024
3.61e+01  0.2763365324
3.78e+01  0.2763548895
3.95e+01  0.2764100308
4.12e+01  0.276382616
4.31e+01  0.2764303341
4.51e+01  0.2764974817
4.71e+01  0.2763707033
4.92e+01  0.2763635865
5.15e+01  0.2763543094
5.38e+01  0.2763607466
5.62e+01  0.2764022987
5.88e+01  0.2763792432
6.14e+01  0.2763773978
6.42e+01  0.2764074472
6.71e+01  0.2763637622
7.02e+01  0.2764322613
7.33e+01  0.2763725065
7.67e+01  0.2764034319
8.01e+01  0.2764050703
8.38e+01  0.2764247714
8.76e+01  0.276425509
9.15e+01  0.2765280206
9.57e+01  0.2764045889
1.00e+02  0.2764612454
1.05e+02  0.2764007548
1.09e+02  0.2764296895
1.14e+02  0.2764765303
1.19e+02  0.2763807436
1.25e+02  0.2763981119
1.30e+02  0.2764876799
1.36e+02  0.2764318923
1.43e+02  0.2763564448
1.49e+02  0.2763572613
1.56e+02  0.276392211
1.63e+02  0.2764566173
1.70e+02  0.2765258879
1.78e+02  0.2763781006
1.86e+02  0.2764563529
1.94e+02  0.276402851
2.03e+02  0.2764684711
2.12e+02  0.2765165087
2.22e+02  0.2765397606
2.32e+02  0.2763781601
2.42e+02  0.276483252
2.53e+02  0.2764081766
2.65e+02  0.2764226072
2.77e+02  0.2764041335
2.89e+02  0.2764203815
3.03e+02  0.2764998783
3.16e+02  0.2766029754
3.31e+02  0.2766377102
3.46e+02  0.2763946382
3.61e+02  0.2765730432
3.78e+02  0.2763864947
3.95e+02  0.2764187145
4.12e+02  0.2767361521
4.31e+02  0.2763728642
4.51e+02  0.2763947976
4.71e+02  0.2764318917
4.92e+02  0.2765232989
5.15e+02  0.2764849953
5.38e+02  0.2766836788
5.62e+02  0.2766792446
5.88e+02  0.276374194
6.14e+02  0.2767835324
6.42e+02  0.2766866297
6.71e+02  0.2767479653
7.02e+02  0.2768509642
7.33e+02  0.2763748498
7.67e+02  0.2766575625
8.01e+02  0.2766189295
8.38e+02  0.2764025729
8.76e+02  0.2765908886
9.15e+02  0.2766016445
9.57e+02  0.2768959925
1.00e+03  0.2766157693
1.05e+03  0.2766550004
1.09e+03  0.2762488907
1.14e+03  0.2772550491
1.19e+03  0.2780624228
1.25e+03  0.2770741194
1.30e+03  0.2754549371
1.36e+03  0.2765637622
1.43e+03  0.2756212455
1.49e+03  0.276035842
1.56e+03  0.2783255198
1.63e+03  0.2778697381
1.70e+03  0.2756985796
1.78e+03  0.2791706509
1.86e+03  0.272762743
1.94e+03  0.2762760589
2.03e+03  0.2751414861
2.12e+03  0.2740059657
2.22e+03  0.2767955492
2.32e+03  0.2841779576
2.42e+03  0.2826316821
2.53e+03  0.2766950236
2.65e+03  0.2932370918
2.77e+03  0.2857516268
2.89e+03  0.276188935
3.03e+03  0.2825776656
3.16e+03  0.2854407446
3.31e+03  0.2800849243
3.46e+03  0.268030752
3.61e+03  0.2674123222
3.78e+03  0.2855213464
3.95e+03  0.2616942562
4.12e+03  0.2757519617
4.31e+03  0.2566959156
4.51e+03  0.2753138128
4.71e+03  0.2689192147
4.92e+03  0.2542903286
5.15e+03  0.2577827051
5.38e+03  0.2579040916
5.62e+03  0.2622045389
5.88e+03  0.2528522907
6.14e+03  0.2597983876
6.42e+03  0.2867115001
6.71e+03  0.2996944476
7.02e+03  0.2596953069
7.33e+03  0.2919553222
7.67e+03  0.282910716
8.01e+03  0.2874791161
8.38e+03  0.2840801953
8.76e+03  0.3170703738
9.15e+03  0.2859442443
9.57e+03  0.2926635974
1.00e+04  0.3252093869
1.05e+04  0.3050525521
1.09e+04  0.3022863054
1.14e+04  0.2725520928
1.19e+04  0.3183247835
1.25e+04  0.2997542675
1.30e+04  0.3277665293
1.36e+04  0.3163750657
1.43e+04  0.3276221066
1.49e+04  0.3178961368
1.56e+04  0.3159816967
1.63e+04  0.3052977636
1.70e+04  0.3159985204
1.78e+04  0.360387371
1.86e+04  0.3503023419
1.94e+04  0.3285593716
2.03e+04  0.324473624
2.12e+04  0.3604394412
2.22e+04  0.3531024999
2.32e+04  0.330539357
2.42e+04  0.3772588572
2.53e+04  0.3090303428
2.65e+04  0.3858954507
2.77e+04  0.3162159068
2.89e+04  0.3829462783
3.03e+04  0.3368693451
3.16e+04  0.3507138182
3.31e+04  0.3425185569
3.46e+04  0.4047549444
3.61e+04  0.2870628793
3.78e+04  0.416924437
3.95e+04  0.3015238103
4.12e+04  0.3894961806
4.31e+04  0.3648506772
