# E  prob
5.62e+00  0.3490738742
5.88e+00  0.3490067428
6.14e+00  0.3490335293
6.42e+00  0.3490330165
6.71e+00  0.3490301885
7.02e+00  0.3490112859
7.33e+00  0.3490209372
7.67e+00  0.3490598141
8.01e+00  0.3491117013
8.38e+00  0.3490917685
8.76e+00  0.3490290567
9.15e+00  0.3490251134
9.57e+00  0.3490296487
1.00e+01  0.3490289328
1.05e+01  0.3490279994
1.09e+01  0.3490228604
1.14e+01  0.3489779124
1.19e+01  0.3490379758
1.25e+01  0.349034655
1.30e+01  0.3490396497
1.36e+01  0.3490252753
1.43e+01  0.3490245339
1.49e+01  0.349031405
1.56e+01  0.3490306896
1.63e+01  0.3490265085
1.70e+01  0.3495739809
1.78e+01  0.3491646669
1.86e+01  0.3490283657
1.94e+01  0.3490228115
2.03e+01  0.3483707509
2.12e+01  0.34897236
2.22e+01  0.3490229463
2.32e+01  0.3491922047
2.42e+01  0.3490484476
2.53e+01  0.3488173505
2.65e+01  0.3487467199
2.77e+01  0.3486136932
2.89e+01  0.3490559849
3.03e+01  0.349183387
3.16e+01  0.3491865172
3.31e+01  0.3489744139
3.46e+01  0.3491482006
3.61e+01  0.3487845254
3.78e+01  0.3491903621
3.95e+01  0.3490426848
4.12e+01  0.348960996
4.31e+01  0.3488959592
4.51e+01  0.3488559206
4.71e+01  0.3490001184
4.92e+01  0.349031664
5.15e+01  0.3490233864
5.38e+01  0.3490247863
5.62e+01  0.3491109857
5.88e+01  0.3488115303
6.14e+01  0.3491476621
6.42e+01  0.3489691389
6.71e+01  0.3490138767
7.02e+01  0.3490331304
7.33e+01  0.3486825536
7.67e+01  0.3492209045
8.01e+01  0.3489650437
8.38e+01  0.3490134136
8.76e+01  0.3489910198
9.15e+01  0.3489703303
9.57e+01  0.3491441458
1.00e+02  0.3487768595
1.05e+02  0.3489956916
1.09e+02  0.3490041683
1.14e+02  0.3489631082
1.19e+02  0.3490063969
1.25e+02  0.3492013916
1.30e+02  0.3489503463
1.36e+02  0.3489732227
1.43e+02  0.3490041984
1.49e+02  0.349025635
1.56e+02  0.3489586841
1.63e+02  0.3488424168
1.70e+02  0.3489382852
1.78e+02  0.349038993
1.86e+02  0.3489358802
1.94e+02  0.3490438054
2.03e+02  0.349199083
2.12e+02  0.34895269
2.22e+02  0.3489709695
2.32e+02  0.3489897807
2.42e+02  0.3489168174
2.53e+02  0.3488943785
2.65e+02  0.3489821571
2.77e+02  0.3490208408
2.89e+02  0.3489880009
3.03e+02  0.3489521781
3.16e+02  0.3488807101
3.31e+02  0.3491059146
3.46e+02  0.3490299364
3.61e+02  0.348893376
3.78e+02  0.3489607016
3.95e+02  0.3489342448
4.12e+02  0.3488053864
4.31e+02  0.3490310334
4.51e+02  0.3489297189
4.71e+02  0.3491275292
4.92e+02  0.3489248199
5.15e+02  0.3491159835
5.38e+02  0.3486606041
5.62e+02  0.3488288073
5.88e+02  0.3490172875
6.14e+02  0.3488088233
6.42e+02  0.3488893089
6.71e+02  0.348706574
7.02e+02  0.3487111948
7.33e+02  0.3489441914
7.67e+02  0.3488930768
8.01e+02  0.3488207984
8.38e+02  0.3490399299
8.76e+02  0.3489327278
9.15e+02  0.3487329794
9.57e+02  0.3486424754
1.00e+03  0.3489925197
1.05e+03  0.348858456
1.09e+03  0.3492768939
1.14e+03  0.3482831022
1.19e+03  0.3479951009
1.25e+03  0.3485516832
1.30e+03  0.3494876738
1.36e+03  0.3490172234
