# E  prob
4.71e+00  0.3746018996
4.92e+00  0.3746023189
5.15e+00  0.3746100289
5.38e+00  0.3746391484
5.62e+00  0.3745617422
5.88e+00  0.3746048134
6.14e+00  0.3746109238
6.42e+00  0.3746032145
6.71e+00  0.3746016385
7.02e+00  0.3746028574
7.33e+00  0.3746022173
7.67e+00  0.3745948157
8.01e+00  0.3746010228
8.38e+00  0.3745713593
8.76e+00  0.3745999721
9.15e+00  0.3746057714
9.57e+00  0.3746093391
1.00e+01  0.3745331838
1.05e+01  0.3745824474
1.09e+01  0.374627008
1.14e+01  0.3746011009
1.19e+01  0.3746035032
1.25e+01  0.3745855384
1.30e+01  0.3746006211
1.36e+01  0.3746006753
1.43e+01  0.3746004395
1.49e+01  0.3746011561
1.56e+01  0.3746005223
1.63e+01  0.3745995834
1.70e+01  0.374599613
1.78e+01  0.3745680856
1.86e+01  0.374465025
1.94e+01  0.3746112978
2.03e+01  0.3747010228
2.12e+01  0.3746137395
2.22e+01  0.3745872409
2.32e+01  0.3746159269
2.42e+01  0.3747674652
2.53e+01  0.3743939039
2.65e+01  0.3744774596
2.77e+01  0.3742689337
2.89e+01  0.3746429206
3.03e+01  0.3746072708
3.16e+01  0.374380487
3.31e+01  0.3747521783
3.46e+01  0.3748675695
3.61e+01  0.3748174227
3.78e+01  0.3745320199
3.95e+01  0.3745959353
4.12e+01  0.3744684143
4.31e+01  0.3746162744
4.51e+01  0.3743667815
4.71e+01  0.3743239518
4.92e+01  0.3746324693
5.15e+01  0.3746021632
5.38e+01  0.3745925428
5.62e+01  0.3745007343
5.88e+01  0.3748710733
6.14e+01  0.374453396
6.42e+01  0.3745698057
6.71e+01  0.374575386
7.02e+01  0.3746238107
7.33e+01  0.3746483967
7.67e+01  0.3743586369
8.01e+01  0.3748408167
8.38e+01  0.3745709645
8.76e+01  0.3745963589
9.15e+01  0.3745553896
9.57e+01  0.374532966
1.00e+02  0.3748236669
1.05e+02  0.3745759492
1.09e+02  0.3745674619
1.14e+02  0.3745606746
1.19e+02  0.3746467833
1.25e+02  0.3746903309
1.30e+02  0.3746469518
1.36e+02  0.3744532723
1.43e+02  0.3745681307
1.49e+02  0.3745788753
1.56e+02  0.3746492537
1.63e+02  0.3744488133
1.70e+02  0.3746229115
1.78e+02  0.3746041037
1.86e+02  0.3745396393
1.94e+02  0.3745626078
2.03e+02  0.3748403572
2.12e+02  0.3745981399
2.22e+02  0.3745219509
2.32e+02  0.3745789071
2.42e+02  0.3745654858
2.53e+02  0.3746590854
2.65e+02  0.3746026459
2.77e+02  0.3745710262
2.89e+02  0.374620227
3.03e+02  0.374570323
3.16e+02  0.3745315179
3.31e+02  0.3742073444
3.46e+02  0.3745410508
3.61e+02  0.3745446283
3.78e+02  0.3745944856
3.95e+02  0.3745648538
4.12e+02  0.3744810946
4.31e+02  0.3745953289
4.51e+02  0.3745654492
4.71e+02  0.374600985
4.92e+02  0.3745153298
5.15e+02  0.3745272606
5.38e+02  0.3744382439
5.62e+02  0.3746082172
5.88e+02  0.37446723
6.14e+02  0.3744091568
6.42e+02  0.3744262026
6.71e+02  0.3746499568
7.02e+02  0.3743481443
7.33e+02  0.3745507038
7.67e+02  0.3742978079
8.01e+02  0.3745122759
8.38e+02  0.3747140054
8.76e+02  0.3747378899
9.15e+02  0.3744900498
9.57e+02  0.3742706789
1.00e+03  0.3744651079
1.05e+03  0.3743500438
1.09e+03  0.3746122937
1.14e+03  0.3742560691
1.19e+03  0.3738203914
1.25e+03  0.3742801781
1.30e+03  0.3748562539
1.36e+03  0.3746742091
1.43e+03  0.3748252635
1.49e+03  0.3745109595
1.56e+03  0.3739425223
1.63e+03  0.3741541053
1.70e+03  0.3747454231
1.78e+03  0.3734283259
1.86e+03  0.3758652775
1.94e+03  0.3747411899
2.03e+03  0.3749442524
2.12e+03  0.3755803534
2.22e+03  0.374363686
2.32e+03  0.3712025506
2.42e+03  0.3713673172
2.53e+03  0.374399431
2.65e+03  0.3665185867
2.77e+03  0.3699011157
2.89e+03  0.3746957376
3.03e+03  0.372883171
3.16e+03  0.3707945791
3.31e+03  0.3722259149
3.46e+03  0.3768843345
3.61e+03  0.3789109482
3.78e+03  0.3655348567
3.95e+03  0.3779455366
4.12e+03  0.3760039593
4.31e+03  0.3755915214
4.51e+03  0.3761043543
4.71e+03  0.3647829491
4.92e+03  0.3907047919
5.15e+03  0.3675345491
5.38e+03  0.3850436422
